ReviewerScore	TotalWordCount	WordsPerSentence	TotalSentences	Ability	Achievement	Agentic	Research	StandoutAdj	Masculine	Feminine	NegEval.LIWC	PosEval.LIWC	Neg.VADER	Neu.VADER	Pos.VADER	Compound.VADER	Sentiment.stanza
ReviewerScore	1	-0.132122365552692	-0.107395094229117	-0.107630685664937	0.0711719896885624	0.185266371007727	0.196024239880826	0.127568598573123	0.216138018811259	0.104631516097683	0.0936696266779644	-0.494286894651233	0.220702974098047	-0.403642509551939	-0.244140646862307	0.419142714656849	0.38645376578179	0.668057563833436
TotalWordCount	-0.132122365552692	1	0.242979145516072	0.914636370962363	0.0113324298236704	-0.116841862227332	-0.10825126109432	-0.132651977911482	-0.15350588543941	-0.063009218940466	-0.0407298022842699	0.00202143955569539	-0.24499514360744	0.0461300468600944	0.292500593595001	-0.301426113419189	0.154754521610344	-0.205177757913891
WordsPerSentence	-0.107395094229117	0.242979145516072	1	-0.0362220966241734	0.0321243813803423	-0.0525370778985977	-0.0794423184298173	-0.121782399550677	-0.157681016936398	-0.022603629518744	-0.0416118710521347	0.0101189022388534	-0.174088825430616	0.0321335168804405	0.233751160362191	-0.238184430353016	0.0490700349841651	-0.151860325032843
TotalSentences	-0.107630685664937	0.914636370962363	-0.0362220966241734	1	0.00612635446153128	-0.097148269076987	-0.0906999155303355	-0.0956876284490525	-0.129711977689778	-0.0548244562211357	-0.0341159179575382	0.0117682863390388	-0.19670973086945	0.0496353314677193	0.238822678620893	-0.251448897982811	0.138130532471685	-0.17276808136373
Ability	0.0711719896885624	0.0113324298236704	0.0321243813803423	0.00612635446153128	1	0.0948719169138462	0.0681622904269382	0.000581758911482867	-0.0326255476152209	0.121230307257632	-0.0134047884394123	-0.0694907162935465	-0.026483293977839	-0.0482782839778232	0.0205479467775782	0.00217680765209705	0.0600034728298543	0.0920253919568586
Achievement	0.185266371007727	-0.116841862227332	-0.0525370778985977	-0.097148269076987	0.0948719169138462	1	0.483475799234561	-0.00270352355568698	-0.00801451229763096	0.199581754320328	-0.0124202525737056	-0.142977686114884	0.249741436630939	-0.108167535452784	-0.285128444729919	0.323235186325166	0.177409072332427	0.236756650538435
Agentic	0.196024239880826	-0.10825126109432	-0.0794423184298173	-0.0906999155303355	0.0681622904269382	0.483475799234561	1	0.0353665707581482	0.0124999590935774	0.229515999956281	0.0301090001186416	-0.15686368698268	0.28965577621665	-0.107356584198239	-0.283186835935592	0.320767289595366	0.139999408683489	0.229721680191181
Research	0.127568598573123	-0.132651977911482	-0.121782399550677	-0.0956876284490525	0.000581758911482867	-0.00270352355568698	0.0353665707581482	1	0.0862640445792381	0.0354121628282128	-0.0348500480791133	-0.0972721783198387	0.0550286913870323	-0.110946581608851	-0.0790645897998999	0.126374960548897	0.0325546132043551	0.17103161243258
StandoutAdj	0.216138018811259	-0.15350588543941	-0.157681016936398	-0.129711977689778	-0.0326255476152209	-0.00801451229763096	0.0124999590935774	0.0862640445792381	1	-0.00518058143962143	0.0308416487501839	-0.126790022046482	0.101440585810231	-0.114281210997771	-0.368623609964648	0.405740614089529	0.0735369314380331	0.254261300448908
Masculine	0.104631516097683	-0.063009218940466	-0.022603629518744	-0.0548244562211357	0.121230307257632	0.199581754320328	0.229515999956281	0.0354121628282128	-0.00518058143962143	1	-0.0223000500100904	-0.0797793040748933	0.128964964294903	-0.0597037814709251	-0.114801638484308	0.137421220994546	0.0743786906521267	0.129287123440275
Feminine	0.0936696266779644	-0.0407298022842699	-0.0416118710521347	-0.0341159179575382	-0.0134047884394123	-0.0124202525737056	0.0301090001186416	-0.0348500480791133	0.0308416487501839	-0.0223000500100904	1	-0.0647166981789076	0.215650795961166	-0.0634919892703917	-0.207482806105032	0.228149446501967	0.0953731534175831	0.0869764906979554
NegEval.LIWC	-0.494286894651233	0.00202143955569539	0.0101189022388534	0.0117682863390388	-0.0694907162935465	-0.142977686114884	-0.15686368698268	-0.0972721783198387	-0.126790022046482	-0.0797793040748933	-0.0647166981789076	1	-0.121302255673712	0.496605153529424	0.0881072315346271	-0.307861253748086	-0.39457989549328	-0.541504274791361
PosEval.LIWC	0.220702974098047	-0.24499514360744	-0.174088825430616	-0.19670973086945	-0.026483293977839	0.249741436630939	0.28965577621665	0.0550286913870323	0.101440585810231	0.128964964294903	0.215650795961166	-0.121302255673712	1	-0.125040031874635	-0.427269320182209	0.46737668283055	0.142486572881794	0.303881339258589
Neg.VADER	-0.403642509551939	0.0461300468600944	0.0321335168804405	0.0496353314677193	-0.0482782839778232	-0.108167535452784	-0.107356584198239	-0.110946581608851	-0.114281210997771	-0.0597037814709251	-0.0634919892703917	0.496605153529424	-0.125040031874635	1	-0.138541350398642	-0.312124156082661	-0.594826089430442	-0.477411694324717
Neu.VADER	-0.244140646862307	0.292500593595001	0.233751160362191	0.238822678620893	0.0205479467775782	-0.285128444729919	-0.283186835935592	-0.0790645897998999	-0.368623609964648	-0.114801638484308	-0.207482806105032	0.0881072315346271	-0.427269320182209	-0.138541350398642	1	-0.877487572409056	-0.196799175280341	-0.332063864335828
Pos.VADER	0.419142714656849	-0.301426113419189	-0.238184430353016	-0.251448897982811	0.00217680765209705	0.323235186325166	0.320767289595366	0.126374960548897	0.405740614089529	0.137421220994546	0.228149446501967	-0.307861253748086	0.46737668283055	-0.312124156082661	-0.877487572409056	1	0.465343406521737	0.534319197248546
Compound.VADER	0.38645376578179	0.154754521610344	0.0490700349841651	0.138130532471685	0.0600034728298543	0.177409072332427	0.139999408683489	0.0325546132043551	0.0735369314380331	0.0743786906521267	0.0953731534175831	-0.39457989549328	0.142486572881794	-0.594826089430442	-0.196799175280341	0.465343406521737	1	0.417088089825529
Sentiment.stanza	0.668057563833436	-0.205177757913891	-0.151860325032843	-0.17276808136373	0.0920253919568586	0.236756650538435	0.229721680191181	0.17103161243258	0.254261300448908	0.129287123440275	0.0869764906979554	-0.541504274791361	0.303881339258589	-0.477411694324717	-0.332063864335828	0.534319197248546	0.417088089825529	1
